City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Hithadhoo,MV,81.23,overcast clouds,-0.6,73.0833,Scoop Guest House
8,Butaritari,KI,82.96,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
13,Buchanan,LR,76.96,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
25,San Onofre,CO,78.53,broken clouds,9.7359,-75.5263,Hotel Sinai
29,Cam Ranh,VN,75.16,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
30,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
46,Mangrol,IN,76.37,clear sky,21.1167,70.1167,Hotel The Royal Honours
47,San Patricio,US,84.92,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
48,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
49,Meulaboh,ID,75.92,overcast clouds,4.1363,96.1285,Kost Pria
56,Omboue,GA,76.08,overcast clouds,-1.5746,9.2618,Hotel Olako
73,Laguna,US,79.3,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
74,Makakilo City,US,82.72,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
76,Saint George,US,76.42,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
77,Buala,SB,82.8,light rain,-8.145,159.5921,Maringe Lagoon Lodge
80,Saint Pete Beach,US,80.65,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
81,Labuhan,ID,81.5,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
84,Cabo San Lucas,MX,86.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
87,Kavieng,PG,82.06,moderate rain,-2.5744,150.7967,Nusa Island Retreat
90,Alice Springs,AU,81.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
93,Touros,BR,81.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
112,Clarence Town,AU,77.05,few clouds,-32.5833,151.7833,River Downs Cottage
119,Taree,AU,75.11,clear sky,-31.9,152.4667,All Seasons Country Lodge Taree
123,Lompoc,US,79.12,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
125,Lorengau,PG,78.42,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
131,Atuona,PF,77.83,light rain,-9.8,-139.0333,Villa Enata
134,Abu Dhabi,AE,86.11,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
144,Port-Gentil,GA,78.76,light rain,-0.7193,8.7815,Fengshui Residence
145,Biltine,TD,81.32,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
151,Honiara,SB,85.05,light rain,-9.4333,159.95,Heritage Park Hotel
152,Port Blair,IN,75.24,fog,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
154,Karratha,AU,85.39,clear sky,-20.7377,116.8463,ibis Styles Karratha
155,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
156,Boa Vista,BR,82.38,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
158,Salalah,OM,75.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
162,Aracati,BR,80.4,broken clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
166,Malakal,SS,75.45,scattered clouds,9.5334,31.6605,Nile Palace Hotel
170,Bandarbeyla,SO,76.05,broken clouds,9.4942,50.8122,JABIR HOTEL
172,Namatanai,PG,84.4,light rain,-3.6667,152.4333,Seagulls Inn Namatani
180,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
191,San Policarpo,PH,81.77,broken clouds,12.1791,125.5072,Agapita M. Nicart
194,Harper,LR,77.59,overcast clouds,4.375,-7.7169,Screensaver
196,Dhidhdhoo,MV,80.82,broken clouds,6.8833,73.1,Dhidhoo beach
197,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
201,Malindi,KE,76.64,few clouds,-3.2175,40.1191,African House Resort
204,George Town,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
206,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
213,Catuday,PH,81.88,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
217,Bamnet Narong,TH,76.75,overcast clouds,15.4992,101.6897,Jong Jaroen Resort
219,Hilo,US,83.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
225,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
227,Palmas De Monte Alto,BR,75.2,broken clouds,-14.2672,-43.1619,RAVENA AUTO POSTO LTDA
228,Bonthe,SL,78.93,light rain,7.5264,-12.505,Bonthe Holiday Village
230,Gizo,SB,82.2,moderate rain,-8.103,156.8419,Imagination Island
234,Byron Bay,AU,75.15,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
235,Port Augusta,AU,75.7,clear sky,-32.5,137.7667,Majestic Oasis Apartments
236,Sur,OM,78.98,clear sky,22.5667,59.5289,Sur Plaza Hotel
240,Vaitape,PF,79.48,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
241,Dingle,PH,80.85,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
242,Mahibadhoo,MV,81.45,few clouds,3.7833,72.9667,Omadhoo Inn
244,Deming,US,82.29,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
246,La Asuncion,VE,83.93,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
248,Acapulco,MX,85.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
253,Sulphur Springs,US,80.31,clear sky,33.1385,-95.6011,Clarion Pointe Sulphur Springs
254,Punta Gorda,US,81.99,clear sky,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
257,Puerto Ayacucho,VE,75.47,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
260,Faanui,PF,79.52,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
262,Bakel,SN,87.82,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
263,Ahuimanu,US,83.91,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
267,Ixtapa,MX,87.03,broken clouds,20.7,-105.2,Hotel Plaza Providencia
268,Estelle,US,84.2,scattered clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
272,Pochutla,MX,82.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
273,Hobyo,SO,78.4,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
274,Samarai,PG,82.96,scattered clouds,-10.6167,150.6667,Nuli Sapi
275,Galesong,ID,77.02,scattered clouds,-5.3166,119.3661,Sapriadi Appy
283,Medina,SA,81.03,clear sky,24.4686,39.6142,Anwar Al Madinah Mövenpick Hotel
286,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
287,Auki,SB,82.36,overcast clouds,-8.7676,160.7034,Auki Motel
293,Le Vauclin,MQ,82.45,scattered clouds,14.5452,-60.8388,Hôtel Cap Macabou
294,Half Moon Bay,US,75.87,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
295,Conde,BR,80.06,few clouds,-7.2597,-34.9075,Pousada Beija Flor
304,Bang Pakong,TH,82.18,overcast clouds,13.543,100.9933,PJ PLACE
308,Kaura Namoda,NG,82.29,few clouds,12.5898,6.5779,Moonlight Hotel
311,Ternate,ID,82.62,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
313,San Angelo,US,80.82,scattered clouds,31.4638,-100.437,"Motel 6 San Angelo, TX"
314,Sao Jose Da Tapera,BR,77.34,broken clouds,-9.5583,-37.3811,Pousada Felicia
319,Romita,MX,79.43,scattered clouds,20.8667,-101.5167,HOTEL RESTER
321,Naliya,IN,76.05,clear sky,23.2667,68.8333,jadeja jayendrasinh
323,Prachuap Khiri Khan,TH,78.69,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
325,Nabire,ID,76.44,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
327,Salinopolis,BR,79.99,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
328,Kralendijk,BQ,80.58,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
330,Tautira,PF,86.02,scattered clouds,-17.7333,-149.15,Pension Oaoa
334,Marsh Harbour,BS,79.95,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
336,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
337,Santa Ines,BR,77.2,overcast clouds,-3.6667,-45.38,Palace hotel
343,Champerico,GT,83.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
354,Akyab,MM,76.8,overcast clouds,20.15,92.9,Hotel Memory
360,Trat,TH,79.99,overcast clouds,12.5,102.5,สวนหนิง-อัศ
363,Amarante Do Maranhao,BR,75.45,broken clouds,-5.5667,-46.7422,Hotéis Caçulinha
370,Port Keats,AU,87.37,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
374,Pangkalanbuun,ID,76.55,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
375,Bermejo,AR,80.51,clear sky,-32.8833,-68.8,Muras Apart Hotel
380,Stephenville,US,79.68,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
385,Natitingou,BJ,75.51,few clouds,10.3042,1.3796,Auberge Centrale
386,Kloulklubed,PW,82.9,few clouds,7.0419,134.2556,Storyboard Beach Resort
390,Candido Mendes,BR,76.6,overcast clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
394,Nargana,PA,80.85,scattered clouds,9.4428,-78.5906,Dubbir
395,Mumford,GH,77.92,overcast clouds,5.2618,-0.759,Spanish Villa
396,Cairns,AU,87.94,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
398,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
404,Wiwili,NI,88.54,overcast clouds,13.6268,-85.8254,Hospedaje gladita
412,Tadepallegudem,IN,75.49,broken clouds,16.8333,81.5,Hotel Selection Grand
416,Dzilam Gonzalez,MX,75.04,overcast clouds,21.2833,-88.9333,posadas
432,Almeirim,BR,82.11,broken clouds,-1.5233,-52.5817,Ricácio Hotel
433,Kiunga,PG,88.09,scattered clouds,-6.1219,141.2906,Airport Lodge Kiunga
434,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
435,Iracoubo,GF,79.29,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
442,Sao Filipe,CV,81.16,few clouds,14.8961,-24.4956,Hotel Xaguate
443,Boyolangu,ID,79.39,overcast clouds,-8.1181,111.8935,Yos ega cv
445,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
446,Alim,PH,81.91,broken clouds,9.5649,122.4876,Calamai Tropica
451,Maceio,BR,81.84,few clouds,-9.6658,-35.7353,Poutur Pousada
456,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
463,Kavaratti,IN,81.21,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
468,Pamanukan,ID,81.5,overcast clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
472,Baracoa,CU,79.54,broken clouds,20.3467,-74.4958,Hostal Rio Miel
481,Phan Thiet,VN,78.87,overcast clouds,10.9333,108.1,Hotel Saigon-PT
484,San-Pedro,CI,75.47,overcast clouds,4.7485,-6.6363,Hotel Maria
486,Matamoros,MX,86.11,broken clouds,25.5333,-103.25,Quinta Belem
488,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
489,Kudahuvadhoo,MV,81.7,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
490,Doha,QA,82.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
492,Sola,VU,81.03,overcast clouds,-13.8833,167.55,Leumerus Bungalows
494,Manokwari,ID,78.49,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
507,Ca Mau,VN,78.3,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
510,Eydhafushi,MV,81.16,scattered clouds,5.1033,73.0708,Soneva Fushi
514,Eufaula,US,77.43,few clouds,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
516,Kaohsiung,TW,76.08,broken clouds,22.6163,120.3133,御宿商旅-中山館
517,Morant Bay,JM,80.22,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
528,Mogadishu,SO,78.75,overcast clouds,2.0371,45.3438,Hotel Juba
529,Saint-Marc,HT,81.39,broken clouds,19.1082,-72.6938,Maguana Hotel
531,Nouakchott,MR,80.53,scattered clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
535,Kathu,TH,82.69,light rain,7.9178,98.3332,Novotel Phuket Resort
545,Sibolga,ID,77.02,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
548,Poum,NC,75.7,few clouds,-20.2333,164.0167,Gîte kajeon
554,Progreso,MX,77.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
556,San Jose,US,77.36,broken clouds,37.3394,-121.895,The Westin San Jose
558,La Romana,DO,82.13,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
560,Kununurra,AU,87.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
565,Novo Aripuana,BR,75.97,light rain,-5.1206,-60.3797,POUSADA Flexy
571,Cockburn Town,TC,80.56,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
578,Laem Sing,TH,80.15,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
579,Waingapu,ID,83.66,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
580,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
581,Lahad Datu,MY,78.06,overcast clouds,5.0268,118.327,The 27th House
582,Chauk,MM,75.09,overcast clouds,20.8833,94.8167,Bo Khin Guest House
583,Santa,PH,80.42,few clouds,17.486,120.4348,Monte Leah Beach Resort
587,Alyangula,AU,82.27,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
588,Katherine,AU,79.12,broken clouds,-14.4667,132.2667,Pine Tree Motel
589,Sarangani,PH,81.66,light rain,5.4033,125.4636,Ballistic Islet
593,Yulara,AU,80.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
595,Umm Lajj,SA,78.22,clear sky,25.0213,37.2685,Moon light Furnished Units
601,Tomatlan,MX,83.05,scattered clouds,19.9333,-105.25,El Salvial
605,Los Banos,PH,82.8,broken clouds,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
607,Obregon,NI,87.89,overcast clouds,11.9566,-85.9636,Hostal Casa Aryen
613,Kipini,KE,77.29,few clouds,-2.5257,40.5262,Delta Sea Mall
614,Urucara,BR,75.24,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
615,Sinnamary,GF,78.67,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
616,Eyl,SO,77.11,light rain,7.9803,49.8164,Amiin Hotel
624,Boffa,GN,76.5,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
626,Puerto Escondido,MX,80.51,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
627,Bo Phloi,TH,76.17,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
639,Mana,GF,78.62,overcast clouds,5.6592,-53.7767,LE SAMANA
647,San Ignacio,BZ,77.14,clear sky,17.1561,-89.0714,Rainforest Haven Inn
655,Bilma,NE,80.78,clear sky,18.6853,12.9164,Expeditions Ténére voyages
658,Pontianak,ID,75.18,moderate rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
660,Dwarka,IN,78.39,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
661,Ewa Beach,US,84.15,light rain,21.3156,-158.0072,Uncle Junior Robert
666,Ranong,TH,75.13,heavy intensity rain,9.9658,98.6348,Tinidee Hotel@Ranong
667,Manaure,CO,85.05,few clouds,11.7751,-72.4445,Hotel Palaaima
669,Tete,MZ,77.09,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
674,Teknaf,BD,76.17,overcast clouds,20.8624,92.3058,Forestry Guesthouse
678,Biak,ID,79.57,overcast clouds,-0.9131,122.8766,Penginapan Kim
681,Uchiza,PE,77.85,overcast clouds,-8.4592,-76.4633,Hotel San Pedro
