City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Thinadhoo,MV,0.5333,72.9333,82.56,69,39,9.51,scattered clouds
1,Hithadhoo,MV,-0.6,73.0833,81.23,75,100,9.51,overcast clouds
2,Caravelas,BR,-17.7125,-39.2481,73.81,86,100,10.83,overcast clouds
3,Zhashkiv,UA,49.2454,30.1102,57.06,53,59,13.47,broken clouds
4,Ushuaia,AR,-54.8,-68.3,38.86,87,75,27.63,broken clouds
5,Sari,IR,36.5633,53.0601,52.39,81,3,4.21,clear sky
6,Souillac,MU,-20.5167,57.5167,74.35,88,75,6.91,broken clouds
7,Shingu,JP,33.7333,135.9833,59.99,83,100,3.65,light rain
8,Butaritari,KI,3.0707,172.7902,82.96,72,27,13.96,scattered clouds
9,Kodiak,US,57.79,-152.4072,44.11,61,75,11.5,broken clouds
10,Birao,CF,10.2849,22.7882,74.14,75,100,3.83,overcast clouds
11,Zyryanka,RU,65.75,150.85,1.27,77,17,7.76,few clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,86,75,5.75,broken clouds
13,Buchanan,LR,5.8808,-10.0467,76.96,88,100,4.25,moderate rain
14,Uige,AO,-7.6087,15.0613,67.28,98,100,2.35,overcast clouds
15,Jamestown,US,42.097,-79.2353,60.39,98,90,4.0,moderate rain
16,Airai,TL,-8.9266,125.4092,74.98,45,79,0.78,broken clouds
17,Codrington,AU,-38.2667,141.9667,61.81,81,50,3.89,scattered clouds
18,Hofn,IS,64.2539,-15.2082,32.04,65,16,18.34,few clouds
19,Vestmannaeyjar,IS,63.4427,-20.2734,43.9,54,70,19.73,broken clouds
20,Hermanus,ZA,-34.4187,19.2345,60.8,74,100,15.61,overcast clouds
21,Rikitea,PF,-23.1203,-134.9692,74.48,80,72,23.22,broken clouds
22,Hobart,AU,-42.8794,147.3294,64.26,76,75,1.01,broken clouds
23,Cape Town,ZA,-33.9258,18.4232,61.09,70,20,16.11,few clouds
24,Mataura,NZ,-46.1927,168.8643,64.38,42,4,3.0,clear sky
25,San Onofre,CO,9.7359,-75.5263,78.53,86,55,2.35,broken clouds
26,Mar Del Plata,AR,-38.0023,-57.5575,69.82,86,0,13.0,clear sky
27,Bethel,US,41.3712,-73.414,65.25,80,62,6.11,broken clouds
28,Shaunavon,CA,49.6501,-108.4181,56.98,45,1,10.56,clear sky
29,Cam Ranh,VN,11.9214,109.1591,75.16,94,40,4.61,scattered clouds
